	CBSA1	CBSA2	distance
0	Fargo, ND-MN	Lincoln, NE	0.01542881
1	Fargo, ND-MN	State College, PA	0.02222692
2	Fargo, ND-MN	Kalamazoo-Portage, MI	0.02466559
3	Fargo, ND-MN	Bloomington, IL	0.02546517
4	Fargo, ND-MN	Bloomington, IN	0.02821811
5	Fargo, ND-MN	Iowa City, IA	0.02958282
6	Fargo, ND-MN	Pittsburgh, PA	0.02995250
7	Fargo, ND-MN	Albany-Schenectady-Troy, NY	0.03004801
8	Fargo, ND-MN	Asheville, NC	0.03146801
9	Fargo, ND-MN	Lawrence, KS	0.03154732
10	Fargo, ND-MN	Fort Collins, CO	0.03238281
11	Fargo, ND-MN	Lansing-East Lansing, MI	0.03481192
12	Fargo, ND-MN	Lexington-Fayette, KY	0.03551385
13	Fargo, ND-MN	Omaha-Council Bluffs, NE-IA	0.03579418
14	Fargo, ND-MN	Columbia, MO	0.03609392
15	Fargo, ND-MN	Columbus, OH	0.03680737
16	Fargo, ND-MN	Rochester, MN	0.03891560
17	Fargo, ND-MN	Portland-Vancouver-Hillsboro, OR-WA	0.03897910
18	Fargo, ND-MN	Rochester, NY	0.03946499
19	Fargo, ND-MN	Bend-Redmond, OR	0.03997497
20	Fargo, ND-MN	Nashville-Davidson--Murfreesboro--Franklin, TN	0.04031460
21	Fargo, ND-MN	Champaign-Urbana, IL	0.04254076
22	Fargo, ND-MN	Minneapolis-St. Paul-Bloomington, MN-WI	0.04321385
23	Fargo, ND-MN	Madison, WI	0.04646103
24	Fargo, ND-MN	Kansas City, MO-KS	0.04652005
25	Fargo, ND-MN	Hartford-West Hartford-East Hartford, CT	0.04671999
26	Fargo, ND-MN	Santa Cruz-Watsonville, CA	0.04708311
27	Fargo, ND-MN	Ithaca, NY	0.04792913
28	Fargo, ND-MN	New Haven-Milford, CT	0.04886122
29	Fargo, ND-MN	Gainesville, FL	0.04953806
30	Fargo, ND-MN	Tallahassee, FL	0.04998346
31	Fargo, ND-MN	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	0.05117747
32	Fargo, ND-MN	Seattle-Tacoma-Bellevue, WA	0.05118203
33	Fargo, ND-MN	New Orleans-Metairie, LA	0.05231239
34	Fargo, ND-MN	Charlotte-Concord-Gastonia, NC-SC	0.05387340
35	Fargo, ND-MN	College Station-Bryan, TX	0.05469494
36	Fargo, ND-MN	Baltimore-Columbia-Towson, MD	0.05496339
37	Fargo, ND-MN	Richmond, VA	0.05611593
38	Fargo, ND-MN	Raleigh, NC	0.05669958
39	Fargo, ND-MN	Austin-Round Rock, TX	0.05711760
40	Fargo, ND-MN	Athens-Clarke County, GA	0.05806974
41	Fargo, ND-MN	Ann Arbor, MI	0.05827839
42	Fargo, ND-MN	Chicago-Naperville-Elgin, IL-IN-WI	0.06045542
43	Fargo, ND-MN	San Diego-Carlsbad, CA	0.06046116
44	Fargo, ND-MN	Santa Fe, NM	0.06054332
45	Fargo, ND-MN	Bridgeport-Stamford-Norwalk, CT	0.06229229
46	Fargo, ND-MN	Trenton, NJ	0.06399413
47	Fargo, ND-MN	New York-Newark-Jersey City, NY-NJ-PA	0.06741153
48	Fargo, ND-MN	Durham-Chapel Hill, NC	0.06791201
49	Fargo, ND-MN	Boston-Cambridge-Newton, MA-NH	0.06942892
50	Fargo, ND-MN	San Jose-Sunnyvale-Santa Clara, CA	0.07746353
51	Fargo, ND-MN	Washington-Arlington-Alexandria, DC-VA-MD-WV	0.07861840
52	Fargo, ND-MN	San Francisco-Oakland-Hayward, CA	0.07885217
